LAMMPS data file generated by Python

101242 atoms
1 atom types

0.0 500.0 xlo xhi
0.0 500.0 ylo yhi
-1.0 1.0 zlo zhi

Atoms

1 0 1 0.00000 0.00000 0.00000
2 0 1 1.12000 0.00000 0.00000
3 0 1 2.24000 0.00000 0.00000
4 0 1 3.36000 0.00000 0.00000
5 0 1 4.48000 0.00000 0.00000
6 0 1 5.60000 0.00000 0.00000
7 0 1 6.72000 0.00000 0.00000
8 0 1 7.84000 0.00000 0.00000
9 0 1 8.96000 0.00000 0.00000
10 0 1 10.08000 0.00000 0.00000
11 0 1 11.20000 0.00000 0.00000
12 0 1 12.32000 0.00000 0.00000
13 0 1 13.44000 0.00000 0.00000
14 0 1 14.56000 0.00000 0.00000
15 0 1 15.68000 0.00000 0.00000
16 0 1 16.80000 0.00000 0.00000
17 0 1 17.92000 0.00000 0.00000
18 0 1 19.04000 0.00000 0.00000
19 0 1 20.16000 0.00000 0.00000
20 0 1 21.28000 0.00000 0.00000
21 0 1 22.40000 0.00000 0.00000
22 0 1 23.52000 0.00000 0.00000
23 0 1 24.64000 0.00000 0.00000
24 0 1 25.76000 0.00000 0.00000
25 0 1 26.88000 0.00000 0.00000
26 0 1 28.00000 0.00000 0.00000
27 0 1 29.12000 0.00000 0.00000
28 0 1 30.24000 0.00000 0.00000
29 0 1 31.36000 0.00000 0.00000
30 0 1 32.48000 0.00000 0.00000
31 0 1 33.60000 0.00000 0.00000
32 0 1 34.72000 0.00000 0.00000
33 0 1 35.84000 0.00000 0.00000
34 0 1 36.96000 0.00000 0.00000
35 0 1 38.08000 0.00000 0.00000
36 0 1 39.20000 0.00000 0.00000
37 0 1 40.32000 0.00000 0.00000
38 0 1 41.44000 0.00000 0.00000
39 0 1 42.56000 0.00000 0.00000
40 0 1 43.68000 0.00000 0.00000
41 0 1 44.80000 0.00000 0.00000
42 0 1 45.92000 0.00000 0.00000
43 0 1 47.04000 0.00000 0.00000
44 0 1 48.16000 0.00000 0.00000
45 0 1 49.28000 0.00000 0.00000
46 0 1 50.40000 0.00000 0.00000
47 0 1 51.52000 0.00000 0.00000
48 0 1 52.64000 0.00000 0.00000
49 0 1 53.76000 0.00000 0.00000
50 0 1 54.88000 0.00000 0.00000
51 0 1 56.00000 0.00000 0.00000
52 0 1 57.12000 0.00000 0.00000
53 0 1 58.24000 0.00000 0.00000
54 0 1 59.36000 0.00000 0.00000
55 0 1 60.48000 0.00000 0.00000
56 0 1 61.60000 0.00000 0.00000
57 0 1 62.72000 0.00000 0.00000
58 0 1 63.84000 0.00000 0.00000
59 0 1 64.96000 0.00000 0.00000
60 0 1 66.08000 0.00000 0.00000
61 0 1 67.20000 0.00000 0.00000
62 0 1 68.32000 0.00000 0.00000
63 0 1 69.44000 0.00000 0.00000
64 0 1 70.56000 0.00000 0.00000
65 0 1 71.68000 0.00000 0.00000
66 0 1 72.80000 0.00000 0.00000
67 0 1 73.92000 0.00000 0.00000
68 0 1 75.04000 0.00000 0.00000
69 0 1 76.16000 0.00000 0.00000
70 0 1 77.28000 0.00000 0.00000
71 0 1 78.40000 0.00000 0.00000
72 0 1 79.52000 0.00000 0.00000
73 0 1 80.64000 0.00000 0.00000
74 0 1 81.76000 0.00000 0.00000
75 0 1 82.88000 0.00000 0.00000
76 0 1 84.00000 0.00000 0.00000
77 0 1 85.12000 0.00000 0.00000
78 0 1 86.24000 0.00000 0.00000
79 0 1 87.36000 0.00000 0.00000
80 0 1 88.48000 0.00000 0.00000
81 0 1 89.60000 0.00000 0.00000
82 0 1 90.72000 0.00000 0.00000
